items,2017,2018,2019,2020,2021,2022F,2016
Balance_sheet,Đã kiểm toán,Đã kiểm toán,Đã kiểm toán,Đã kiểm toán,Đã kiểm toán,Dự báo,
Công ty Kiểm toán,Kiểm toán KPMG,,,Kiểm toán KPMG,Kiểm toán KPMG,,
Loại Ý kiến Kiểm toán,Chấp nhận toàn phần,,,Chấp nhận toàn phần,Chấp nhận toàn phần,,
     Thư tín dụng trả chậm,0,0,0,0,0,0,
     Khác,45239.213,57703.713,0,0,0,0,
Bảo lãnh tín dụng,52218.581,54526.543,53569.137,51546.623,2447.477,0,
     Bảo lãnh vay vốn,265.179,276.512,292.563,654.296,2447.477,0,
     Bảo lãnh thanh toán,0,0,0,0,0,0,
     Bảo lãnh thực hiện hợp đồng,0,0,0,0,0,0,
     Bảo lãnh dự thầu,0,0,0,0,0,0,
     Bảo lãnh xuất khẩu,0,0,0,0,0,0,
     Khác,51953.402,54250.031,53276.574,50892.327,0,0,
Cam kết tín dụng,75013.224,62127.138,149350.538,163317.778,146619.211,0,
     Cam kết giao dịch hối đoái,74729.089,61831.282,91594.629,116656.912,81044.022,0,
          Cam kết mua ngoại tệ,8223.247,12471.111,25775.812,53984.032,3470.214,0,
          Cam kết bán ngoại tệ,66505.842,49360.171,65818.817,62672.88,3466.305,0,
          Cam kết giao dịch hoán đổi,0,0,0,0,74107.503,0,
          Cam kết giao dịch tương lai,0,0,0,0,0,0,
     Cam kết cho vay không hủy ngang,0,0,0,0,0,0,
     Cam kết trong nghiệp vụ L/C,0,0,57406.598,45980.494,65378.199,0,
     Cam kết khác,284.135,295.856,349.311,680.372,196.99,0,
Income_statement,Đã kiểm toán,Đã kiểm toán,Đã kiểm toán,Đã kiểm toán,Đã kiểm toán,Dự báo,
Công ty Kiểm toán,Kiểm toán KPMG,,,Kiểm toán KPMG,Kiểm toán KPMG,,
Loại Ý kiến Kiểm toán,Chấp nhận toàn phần,,,Chấp nhận toàn phần,Chấp nhận toàn phần,,
Thu nhập lãi và các khoản thu nhập tương tự,46158.768,55863.951,67724.19,69205.134,70749.002,0,
Chi phí lãi và các chi phí tương tự,-24221.222,-27455.435,-33146.84,-32919.659,-28349.385,0,
Thu nhập lãi thuần,21937.546,28408.516,34577.35,36285.475,42399.617,49583.9214,
     Thu nhập từ hoạt động dịch vụ,5378.176,7022.155,9002.507,10588.163,11286.516,0,
     Chi phí hoạt động dịch vụ,-2839.967,-3619.663,-4695.663,-3980.846,-3879.443,0,
Lãi/Lỗ thuần từ hoạt động dịch vụ,2538.209,3402.492,4306.844,6607.317,7407.073,0,
Lãi/(lỗ) thuần từ hoạy động kinh doanh ngoại hối và vàng,2042.417,2266.429,3378.274,3906.399,4374.82,0,
Lãi/(lỗ) thuần từ mua bán chứng khoán kinh doanh,476.4,250.462,145.982,1.81,104.114,0,
Lãi/(lỗ) thuần từ mua bán chứng khoán đầu tư,-19.742,0,7.04,-0.098,-85.126,0,
     Thu nhập từ hoạt động khác,2355.831,3515.904,3427.765,2544.714,3100.37,0,
     Chi phí hoạt động khác,-256.301,-281.539,-357.97,-744.461,-707.109,0,
Lãi/(lỗ) thuần từ hoạt động khác,2099.53,3234.365,3069.795,1800.253,2393.261,0,
"Thu nhập từ góp vốn, mua cổ phần",331.761,1716.169,245.096,461.385,129.81,0,
Tổng thu nhập hoạt động,29406.121,39278.433,45730.381,49062.541,56723.569,0,
Chi phí hoạt động,-11866.345,-13611.094,-15817.575,-16038.25,-17574.188,0,
LN thuần từ hoạt động kinh doanh trước CF dự phòng rủi ro tín dụng,17539.776,25667.339,29912.806,33024.291,39149.381,0,
Chi phí dự phòng rủi ro tín dụng,-6198.415,-7398.113,-6790.429,-9974.73,-11760.801,0,
Tổng lợi nhuận trước thuế,11341.361,18269.226,23122.377,23049.561,27388.58,35967.72525,
     Chi phí thuế TNDN hiện hành,-2234.378,-3648.356,-4992.464,-5081.068,-4547.363,0,
